
="",="(1)"
="",="eng"

="agearr1",="-0.0385"
="",="(-1.65)"

="agearr2",="-0.0389"
="",="(-1.63)"

="agearr3",="-0.0428"
="",="(-1.70)"

="agearr4",="-0.0397"
="",="(-1.52)"

="agearr5",="-0.0441"
="",="(-1.77)"

="agearr6",="-0.0420"
="",="(-1.60)"

="agearr7",="-0.0489"
="",="(-1.79)"

="agearr8",="-0.0305"
="",="(-1.09)"

="agearr9",="-0.0434"
="",="(-1.52)"

="agearr10",="-0.0408"
="",="(-1.40)"

="agearr11",="-0.0447"
="",="(-1.45)"

="agearr12",="-0.0396"
="",="(-1.32)"

="agearr13",="-0.0497"
="",="(-1.50)"

="agearr14",="-0.0412"
="",="(-1.25)"

="agearr1_nengdom",="0.0399"
="",="(1.44)"

="agearr2_nengdom",="0.0409"
="",="(1.37)"

="agearr3_nengdom",="0.0449"
="",="(1.38)"

="agearr4_nengdom",="0.0359"
="",="(1.09)"

="agearr5_nengdom",="0.0226"
="",="(1.05)"

="agearr6_nengdom",="0.00236"
="",="(0.16)"

="agearr7_nengdom",="-0.00626"
="",="(-0.50)"

="agearr8_nengdom",="-0.0615***"
="",="(-4.84)"

="agearr9_nengdom",="-0.0821***"
="",="(-4.00)"

="agearr10_nengdom",="-0.174***"
="",="(-3.74)"

="agearr11_nengdom",="-0.218***"
="",="(-3.95)"

="agearr12_nengdom",="-0.320***"
="",="(-4.40)"

="agearr13_nengdom",="-0.429***"
="",="(-4.26)"

="agearr14_nengdom",="-0.542***"
="",="(-5.22)"

="dumage2",="0.00366"
="",="(0.52)"

="dumage3",="-0.00386"
="",="(-0.60)"

="dumage4",="-0.00171"
="",="(-0.30)"

="dumage5",="-0.000372"
="",="(-0.05)"

="dumage6",="0.00751"
="",="(1.07)"

="dumage7",="0.00822"
="",="(0.98)"

="dumage8",="0.00395"
="",="(0.31)"

="dumage9",="0.0203"
="",="(1.46)"

="dumage10",="0.0323"
="",="(1.86)"

="dumage11",="0.0462***"
="",="(3.56)"

="dumage12",="0.0565**"
="",="(3.32)"

="dumage13",="0.0416**"
="",="(3.25)"

="dumage14",="0.0709**"
="",="(2.62)"

="dumage15",="0.0604**"
="",="(2.64)"

="dumage16",="0.0537**"
="",="(3.02)"

="dumage17",="0.0598*"
="",="(2.56)"

="dumage18",="0.0617**"
="",="(3.17)"

="dumage19",="0.0584*"
="",="(2.20)"

="dumage20",="0.0780**"
="",="(3.10)"

="dumage21",="0.0795*"
="",="(2.19)"

="dumage22",="0.0796*"
="",="(2.44)"

="dumage23",="0.0946**"
="",="(2.64)"

="dumage24",="0.0984**"
="",="(2.66)"

="dumage25",="0.0791*"
="",="(2.24)"

="dumage26",="0.0818*"
="",="(2.34)"

="dumage27",="0.0813*"
="",="(2.21)"

="dumage28",="0.0880*"
="",="(2.00)"

="dumage29",="0.102*"
="",="(2.24)"

="dumage30",="0.0725"
="",="(1.51)"

="dumage31",="0.0734"
="",="(1.88)"

="female",="-0.00644*"
="",="(-2.45)"

="black",="0.0394"
="",="(1.63)"

="asianpi",="-0.0554"
="",="(-1.06)"

="other",="-0.0890*"
="",="(-2.11)"

="multi",="0.00207"
="",="(0.10)"

="hispdum",="-0.197**"
="",="(-3.09)"

="_cons",="2.973***"
="",="(224.89)"

="N",="191534"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
